Absolute accruals,"Bandyopadhyay, Huang, and Wirjanto",2010,absacc
"Operating accruals (GHZ, Org)",Sloan,1996,acc
Firm age,"Jiang, Lee, and Zhang",2005,age
Asset liquidity to book assets,Ortiz-Molina and Phillips,2014,aliq_at
Asset liquidity to market assets,Ortiz-Molina and Phillips,2014,aliq_mat
Illiquidity ,Amihud,2002,ami_126d
Book leverage,Fama and French,1992,at_be
Asset growth,"Cooper, Gulen, and Schill",2008,at_gr1
Assets-to-market,Fama and French,1992,at_me
Capital turnover,Haugen and Baker,1996,at_turnover
Bid-ask spread,Amihud and Mendelson,1986,baspread
Chage in common equity,Richardson et al.,2005,be_gr1a
Book-to-market (December ME),"Rosenberg, Reid, and Lanstein",1985,be_me
Market beta  (GHZ),Fama and MacBeth,1973,beta
"Market beta (Org, JKP)",Fama and MacBeth,1973,beta_60m
Dimson Beta,Dimson,1979,beta_dimson_21d
Frazzini-Pedersen beta,Frazzini and Pedersen,2014,betabab_1260d
Downside beta,"Ang, Chen, and Xing",2006,betadown_252d
Beta squared (GHZ),Fama and MacBeth,1973,betasq
Book-to-market enterprise value,"Penman, Richardson, and Tuna",2007,bev_mev
High-low bid-ask spread,Corwin and Schultz,2012,bidaskhl_21d
Industry-adjusted book-to-market,"Asness, Porter, and Stevens",2000,bm_ia
Abnormal corporate investment,"Titman, Wei, and Xie",2004,capex_abn
CAPEX growth (1 year),Xie,2001,capx_gr1
Two-year investment growth,Anderson and Garcia-Feijoo,2006,capx_gr2
Three-year investment growth,Anderson and Garcia-Feijoo,2006,capx_gr3
Cash-to-assets,Palazzo,2012,cash_at
Cash flow-to-debt,Ou and Penman,1989,cashdebt
Cash productivity,Chandrashekar and Rao,2009,cashpr
"Operating Cash flows to price (Org, GHZ)","Desai, Rajgopal, and Venkatachalam",2004,cfp
Industry-adjusted cash flow-to-price,"Asness, Porter, and Stevens",2000,cfp_ia
Change in asset turnover,Soliman,2008,chatoia
Net stock issues (GHZ),Pontiff and Woodgate,2008,chcsho
"Net stock issues (JKP, Org)",Pontiff and Woodgate,2008,chcsho_12m
Industry-adjusted change in employees,"Asness, Porter, and Stevens",2000,chempia
Change in 6-month momentum,Gettleman and Marks,2006,chmom
Change in profit margin,Soliman,2008,chpmia
Tax expense surprise,Thomas and Zhang,2011,chtx
Change in current operating assets,Richardson et al.,2005,coa_gr1a
Change in current Ooperating liabilities,Richardson et al.,2005,col_gr1a
Convertible debt indicator,Valta,2016,convind
Cash-based operating profitablility,Ball et al.,2016,cop_at
Cash-based operating profits to lagged assets,Ball et al.,2016,cop_atl1
Market correlation,Assness et al.,2020,corr_1260d
Coskewness,Harvey and Siddique,2000,coskew_21d
Change in net non-cash working capital,Richardson et al.,2005,cowc_gr1a
